sample_id,question,qtype,left_pred,right_pred,left_score,right_score,delta,bucket,left_enhanced,right_enhanced,right_selected_objects
24,What type of transportation is this?,what_type_kind,airplane,airplane,1.0,1.0,0.0,same,False,False,airplane;person;ladder
25,The cat is looking in what direction?,other,down,down,1.0,1.0,0.0,same,False,False,water;faucet;drain
26,What are the orange vehicles for?,other,ground service,ground service,0.0,0.0,0.0,same,False,False,car;truck;runway
27,The company producing the device in her hand is from what country?,other,japan,japan,1.0,1.0,0.0,same,False,False,remote;woman;nose
28,Which is not an ingredient of this dish?,which,butter,wine,0.0,0.0,0.0,same,False,False,glass;knife;hand
29,What is closest to the tree trunk?,other,bike,bike,0.3,0.3,0.0,same,False,False,seat;bike;shadow
30,Where are we at?,where,market,market,1.0,1.0,0.0,same,False,False,market;scooter;woman
31,What is beside the person on the seat?,other,bag,bag,1.0,1.0,0.0,same,False,False,bag;umbrella;sweater
32,What does it say on the boys hat?,other,happy birthday,happy birthday,1.0,1.0,0.0,same,False,False,hat;boy;tennis racket
33,What sport are they mimicking?,other,baseball,baseball,1.0,1.0,0.0,same,False,False,ball;stick;woman
34,The visible bottles most likely contain what kind of items?,what_type_kind,shampoo and conditioner,shampoo and conditioner,0.0,0.0,0.0,same,False,False,bottle;countertop;toilet
35,What sport game is the man playing?,other,wii,wii,0.3,0.3,0.0,same,False,False,man;controller;television
36,What is the batter most likely preparing to do here?,activity_event,hit ball,hit ball,0.0,0.0,0.0,same,False,False,bat;glove;catcher
37,What kind of venue is it?,what_type_kind,kitchen,kitchen,1.0,1.0,0.0,same,False,False,table;sink;cabinet
38,What kind of terrain is it?,what_type_kind,grass field,grass field,0.0,0.0,0.0,same,False,False,elephant;water;bush
39,What is the bin on the left made from?,other,metal,metal,1.0,1.0,0.0,same,False,False,container;hay;ground
40,What type of animal is on a leash on the sidewalk?,what_type_kind,dog,dog,1.0,1.0,0.0,same,False,False,dog;man;person
41,What room of the house is this man in?,other,bathroom,bathroom,1.0,1.0,0.0,same,False,False,man;person;sink
42,What is likely in front of the rug?,other,dishwasher,dishwasher,0.0,0.0,0.0,same,False,False,dishwasher;stove;oven
43,Which food item is the knife for?,which,food,food,0.0,0.0,0.0,same,False,False,mushroom;food;meat
44,What is the orange container on the left near the man in the red shirt used for?,activity_event,cooling,cooling,0.0,0.0,0.0,same,False,False,cooler;dugout;man
45,What type of design is the person's shirt?,what_type_kind,tie dye,tie dye,1.0,1.0,0.0,same,False,False,shirt;person;man
46,What kind of cuisine is this?,what_type_kind,asian,asian,0.8999999999999999,0.8999999999999999,0.0,same,False,False,noodle;broccoli;mushroom
47,What is on the side of the yellow plane?,other,N4339,N4339,0.0,0.0,0.0,same,True,True,number;letter;stripe
48,Why are the men's vests orange?,why,safety,safety,1.0,1.0,0.0,same,False,False,man;vest;light
49,Why would you sit at this table?,why,to eat,to eat,1.0,1.0,0.0,same,False,False,table;cake;food
50,What type of sinks are shown?,what_type_kind,vanity,vanity,0.0,0.0,0.0,same,False,False,sink;tub;countertop
51,In what type of environment are they most likely riding skateboards?,what_type_kind,skate park,skate park,0.3,0.3,0.0,same,False,False,man;stair;graffiti
52,Is the man on the left platform going to board the train?,other,no,no,1.0,1.0,0.0,same,False,False,platform;person;front
53,This part of the house where is the girl is is called?,where,bedroom,bedroom,1.0,1.0,0.0,same,False,False,woman;bed;headboard
54,They are likely having pizza at what kind of event?,what_type_kind,party,social gathering,0.8999999999999999,0.0,-0.8999999999999999,left_better,False,False,man;hoodie;jean
55,What are the people driving?,other,motorcycles,motorcycles,0.8999999999999999,0.8999999999999999,0.0,same,False,False,motorcycle;bike;man
56,The bus is likely driving through which American city?,which,new york city,new york,0.0,1.0,1.0,right_better,False,False,bus;road;street
57,What drink might these be good in?,other,smoothie,smoothie,0.8999999999999999,0.8999999999999999,0.0,same,False,False,banana;woman;shirt
58,What type of parking is available?,what_type_kind,bike,bike,0.8999999999999999,0.8999999999999999,0.0,same,False,False,bicycle;bike;moped
59,What direction is the narrow end of the flag pointing?,other,north,north,0.3,0.3,0.0,same,False,False,flag;pole;spire
60,In what nation is this scene located?,other,france,france,1.0,1.0,0.0,same,False,False,girl;woman;building
61,What festive season are these fruits usually ingested?,other,halloween,holiday season,0.0,0.0,0.0,same,False,False,tangerine;orange;bowl
62,What are the boats shaped like?,other,carts,cows,0.0,0.0,0.0,same,False,False,boat;water;person
63,What is the metal basket near the net used to hold?,other,tennis balls,tennis balls,1.0,1.0,0.0,same,False,False,ball;racket;court
64,What is likely to have happened?,other,fall,fall,0.0,0.0,0.0,same,False,False,man;skier;boot
65,Which vegetable on the pizza would be risky for someone with a certain allergy?,which,pepper,pepper,0.3,0.3,0.0,same,False,False,pepper;mushroom;pepperoni
66,Which food has the least carbs?,which,soup,soup,1.0,1.0,0.0,same,False,False,lettuce;soup;salad
67,What vehicle is closest to the security guard?,other,scooter,scooter,0.8999999999999999,0.8999999999999999,0.0,same,False,False,scooter;car;wheel
68,Why are the men wearing yellow vests?,why,work,work,0.0,0.0,0.0,same,False,False,vest;person;house
69,What is the skateboard balanced on?,other,fence,fence,0.3,0.3,0.0,same,False,False,pole;sidewalk;park
70,What is the object in the middle called?,other,counter,counter,0.0,0.0,0.0,same,False,False,sink;bar stool;countertop
71,What is the gray street made up of?,other,brick,brick,0.3,0.3,0.0,same,False,False,tire;bike;person
72,The name of the street is the same as the last name of what actress?,other,green,green,0.6,0.6,0.0,same,False,False,sign;pole;road
73,How was the cake decorated?,other,red flowers,red flowers,0.0,0.0,0.0,same,False,False,cake;rose;layer
74,The green object on the smaller boat is used as what?,other,container,container,0.0,0.0,0.0,same,False,False,container;building;object
75,Who has the same color hair as this woman?,color,no one,no one,0.6,0.6,0.0,same,False,False,man;woman;person
76,Why would you use this bag?,why,travel,travel,0.8999999999999999,0.8999999999999999,0.0,same,False,False,suitcase;bag;luggage
77,What is being made by the man?,other,kite,kite,1.0,1.0,0.0,same,False,False,kite;man;person
78,What is the man in the gray suit on the left looking down to check?,other,phone,phone,1.0,1.0,0.0,same,False,False,hand;suit;watch
79,Which ingredient is the most flavorful?,which,broccoli,broccoli,0.3,0.3,0.0,same,False,False,meat;mushroom;chicken
80,What are these cases for?,other,travel,travel,1.0,1.0,0.0,same,False,False,suitcase;bag;jacket
81,What pattern are the man's pants?,other,camouflage,camouflage,0.6,0.6,0.0,same,False,False,pant;shirt;shoe
82,In which major city is the woman most likely sitting outdoors?,activity_event,paris,paris,1.0,1.0,0.0,same,False,False,woman;girl;building
83,Where are these animals located?,where,field,field,0.3,0.3,0.0,same,False,False,giraffe;tree;sky
84,In what location is the motorcycle parked most likely?,activity_event,garage,garage,1.0,1.0,0.0,same,False,False,floor;motorcycle;tire
85,What is the natural light streaming into the room through?,other,clock,clock,1.0,1.0,0.0,same,False,False,clock;ceiling;room
86,What is the white cream used for with the other foods?,activity_event,dip,dip,1.0,1.0,0.0,same,False,False,cream;carrot;broccoli
87,What can be seen through the buildings?,other,sun,sun,1.0,1.0,0.0,same,False,False,sky;car;road
88,What type of audience is the man likely speaking to?,what_type_kind,business,business,0.3,0.3,0.0,same,False,False,man;mouth;sofa
89,What will be built here one day?,other,building,building,1.0,1.0,0.0,same,False,False,building;street;truck
90,What seems to be contained in the nook underneath the TV?,other,fireplace,fireplace,1.0,1.0,0.0,same,False,False,fireplace;shelf;screen
91,What problem will the people on the ferry face?,other,stormy weather,stormy weather,0.0,0.0,0.0,same,False,False,water;bridge;motor
92,Why do the cattle have their heads down to the ground?,why,eating,eating,0.8999999999999999,0.8999999999999999,0.0,same,False,False,cow;hay;head
93,What state was the licence plate issues?,other,california,california,0.0,0.0,0.0,same,False,False,license plate;sidewalk;motorcycle
94,What are the people in the picture doing?,activity_event,skiing,skiing,1.0,1.0,0.0,same,False,False,skier;ski;hill
95,What type of city district is this?,what_type_kind,downtown,downtown,0.6,0.6,0.0,same,False,False,woman;person;sidewalk
96,What player is shown in the photo?,other,pitcher,pitcher,1.0,1.0,0.0,same,False,False,man;arm;hand
97,Where are these cats located?,where,floor,floor,0.3,0.3,0.0,same,False,False,cat;floor;carpet
98,What is prohibited near the round road sign with a red cross on a blue background?,text_sign_logo,turning,turning,0.0,0.0,0.0,same,False,False,motorcycle;scooter;road
99,Where is this dog located?,where,chair,chair,1.0,1.0,0.0,same,False,False,dog;chair;nose
100,Who is the woman dressed up as?,other,queen,queen,0.6,0.6,0.0,same,False,False,woman;face;beard
101,What type of event might this be?,what_type_kind,car show,car show,0.0,0.0,0.0,same,False,False,car;doll;person
102,What is the activity being performed?,activity_event,riding,riding,0.6,0.6,0.0,same,False,False,horse;man;reign
103,What color are the walls in the room?,color,green,green,1.0,1.0,0.0,same,True,True,wall;ceiling;room
104,In which way are the adults shown here likely related to the child?,which,parents,parents,1.0,1.0,0.0,same,False,False,man;woman;girl
105,What is served at the counter here?,other,alcohol,alcohol,1.0,1.0,0.0,same,False,False,bottle;glass;lamp
106,What type of tree is in front of the blue building?,what_type_kind,palm,palm,1.0,1.0,0.0,same,False,False,tree;tent;building
107,What did the man use to get into the air?,other,kite,kite,0.6,0.6,0.0,same,False,False,kite;string;rope
108,What type of cuisine would be purchased here?,what_type_kind,tamales,tamales,0.6,0.6,0.0,same,False,False,woman;person;man
109,What type of bus is in traffic?,what_type_kind,school bus,school bus,1.0,1.0,0.0,same,False,False,bus;car;tire
110,In what shape is the quiche cut?,other,triangle,triangle,1.0,1.0,0.0,same,False,False,slice;bean;lettuce
111,What kind of coating has been used?,what_type_kind,glaze,glaze,0.0,0.0,0.0,same,False,False,donut;chocolate;hole
112,Which century was the item the woman is holding up invented in?,which,20th,20th,0.3,0.3,0.0,same,False,False,woman;controller;bag
113,What genus of animal is visible here?,other,snow leopard,snow leopard,0.0,0.0,0.0,same,False,False,monitor;screen;tree
114,What brand is the red truck?,text_sign_logo,dodge,dodge,1.0,1.0,0.0,same,False,False,truck;grill;headlight
115,This meal was likely prepared using which method?,which,grilled,grilled,0.3,0.3,0.0,same,False,False,meat;vegetable;food
116,The cat appears to be what type?,what_type_kind,black and white,black and white,0.0,0.0,0.0,same,False,False,cat;collar;laptop
117,What limits forward navigation?,other,car,car,0.0,0.0,0.0,same,False,False,car;truck;van
118,What are the zebras doing?,activity_event,eating,eating,1.0,1.0,0.0,same,False,False,zebra;head;nose
119,Why are the people behind the fence there?,why,safety,to keep people out,0.0,0.0,0.0,same,False,False,fence;bike;bicycle
120,Which piece of clothing is unique to one person here?,which,green shirt,green shirt,0.0,0.0,0.0,same,False,False,tie;shirt;suit
121,What type of container is the straw sticking out of?,what_type_kind,mason jar,mason jar,0.8999999999999999,0.8999999999999999,0.0,same,False,False,jar;vase;petal
122,A person following what kind of diet is least likely to eat this meal?,what_type_kind,vegetarian,vegan,1.0,0.0,-1.0,left_better,False,False,donut;banana;gravy
123,What is placed on the ground that will eventually turn yellow?,other,bananas,bananas,1.0,1.0,0.0,same,False,False,banana;vegetable;ground
124,What is in the bottles?,other,coffee,beer,0.0,0.0,0.0,same,True,True,coffee;sandwich;bread
125,Which food on the plate grows in the ground?,which,broccoli,broccoli,0.0,0.0,0.0,same,False,False,carrot;broccoli;cucumber
126,What theme park attraction are they most likely visiting?,activity_event,disneyland,disneyland,1.0,1.0,0.0,same,False,False,trolley;carriage;person
127,What is in the photo above the TV?,other,hat,hat,0.0,0.0,0.0,same,False,False,hat;picture;cabinet
128,The temperature outside is likely what range?,other,cold,cold,1.0,1.0,0.0,same,False,False,man;hat;jacket
129,What kind of weather was there?,what_type_kind,rainy,rainy,0.8999999999999999,0.8999999999999999,0.0,same,False,False,reflection;sky;propeller
130,What is the facade that the couple is being interviewed in likely designed to be?,other,tv,tv,0.3,0.3,0.0,same,False,False,bus;window;seat
131,What level of a house is this room located in?,other,basement,basement,1.0,1.0,0.0,same,False,False,floor;room;carpet
132,What type of birds are these?,what_type_kind,seagulls,seagulls,1.0,1.0,0.0,same,False,False,bird;water;sky
133,What country headquarters this plane company?,other,uk,uk,0.3,0.3,0.0,same,False,False,tail;logo;airport
134,What other sport besides ping pong is played by someone in this household?,other,tennis,tennis,1.0,1.0,0.0,same,False,False,racket;bag;bottle
135,Which team is on offense?,which,red team,red team,0.0,0.0,0.0,same,False,False,man;soccer ball;hand
136,What object should never get wet?,what_object,umbrella,laptop,0.3,1.0,0.7,right_better,True,True,umbrella;laptop;jacket
137,What do the larger elephants still have intact?,other,tusks,tusks,1.0,1.0,0.0,same,False,False,tusk;trunk;head
138,What kind of room is on the left of the yellow train?,what_type_kind,waiting room,waiting room,1.0,1.0,0.0,same,False,False,building;wall;roof
139,Which vehicle is closest to the rectangular blue sign?,text_sign_logo,bus,bus,1.0,1.0,0.0,same,False,False,bus;sign;building
140,What vehicle is shown in the photo?,other,jet,jet,0.3,0.3,0.0,same,False,False,airplane;wing;tail
141,What kind of bag is this?,what_type_kind,suitcase,suitcase,1.0,1.0,0.0,same,False,False,suitcase;bag;backpack
142,Why are the wood platforms strapped to the elephants?,why,to carry passengers,to carry people,0.0,0.0,0.0,same,False,False,elephant;seat;cloth
143,What is the train riding on?,other,tracks,tracks,0.8999999999999999,0.8999999999999999,0.0,same,False,False,track;gravel;train car
144,What is the man taking?,other,picture,picture,1.0,1.0,0.0,same,False,False,camera;bike;bicycle
145,What item is on the bottom shelf near the TV?,what_object,speaker,speaker,0.6,0.6,0.0,same,True,True,tray;table;cabinet
146,What city is mentioned on the front of the bus?,other,seattle,seattle,1.0,1.0,0.0,same,False,False,bus;sign;street
147,What expression are these children making?,other,smile,smile,0.6,0.6,0.0,same,False,False,girl;hand;eye
148,What video game system is the boy playing on?,other,wii,wii,1.0,1.0,0.0,same,False,False,boy;child;man
149,What does Fidelity specialize in?,other,investments,investments,1.0,1.0,0.0,same,False,False,sign;building;woman
150,Which is the fruit?,which,right bowl,right bowl,0.0,0.0,0.0,same,False,False,orange;carrot;candy
151,What is the green box near the red stapler on the desk used to hold?,other,tissues,tissues,1.0,1.0,0.0,same,False,False,stapler;box;table
152,How many bake pans were utilized?,how_many,0,3,0.0,0.0,0.0,same,True,True,cake;layer;tine
153,What are some of the zebras standing in in the middle of the photo?,other,water,water,0.8999999999999999,0.8999999999999999,0.0,same,False,False,zebra;water;leg
154,How many people have their arms around the woman?,how_many,1,1,0.0,0.0,0.0,same,True,True,man;leg;foot
155,What city name is shown in the background?,other,omaha,omaha,1.0,1.0,0.0,same,False,False,banner;hat;letter
156,What is the dark colored car to the far left in the middle doing?,activity_event,driving,driving,0.6,0.6,0.0,same,False,False,bus;car;person
157,Are the people boarding this train?,other,no,no,0.0,0.0,0.0,same,False,False,man;bicycle;bike
158,What is purpose of this wooden board?,other,sign,sign,0.0,0.0,0.0,same,False,False,sign;bear;man
159,What video game system is the man playing?,other,wii,wii,1.0,1.0,0.0,same,False,False,man;controller;hoodie
160,Where are the buses with blue trim probably assembled?,where,factory,factory,0.3,0.3,0.0,same,False,False,building;road;pole
161,What kind of pizza is this?,what_type_kind,margherita,margherita,0.6,0.6,0.0,same,False,False,pizza;cheese;sauce
162,When it comes to the child what is he or she doing?,activity_event,skateboarding,skateboarding,0.8999999999999999,0.8999999999999999,0.0,same,False,False,boy;skateboard;pant
163,What is the small house behind the cattle made up of?,other,stone,stone,1.0,1.0,0.0,same,False,False,building;roof;wall
164,What type of transportation is shown?,what_type_kind,train,train,1.0,1.0,0.0,same,False,False,train;smoke;track
165,What is the little girl doing?,activity_event,eating,eating,1.0,1.0,0.0,same,False,False,hand;mouth;nose
166,What type of area is shown?,what_type_kind,parking lot,parking lot,0.0,0.0,0.0,same,False,False,bus;car;road
167,What appliance is unhooked and placed by the sink?,what_object,stove,stove,1.0,1.0,0.0,same,True,True,oven;stove;countertop
168,Which food on the dish is a meat?,which,chicken,chicken,1.0,1.0,0.0,same,False,False,fork;potato;bread
169,Which body part of the cow could you look at to find out which identity and/or owner the cow has?,which,ear,ear,1.0,1.0,0.0,same,False,False,ear;face;eye
170,Who is the manufacturer of this laptop?,other,HP,HP,1.0,1.0,0.0,same,False,False,laptop;logo;keyboard
171,What is the person using to eat the pizza?,other,fork,fork,1.0,1.0,0.0,same,False,False,fork;knife;slice
172,What are the white rocks for?,other,track bed,track bed,0.0,0.0,0.0,same,False,False,track;train car;person
173,What animal has similar color to the flower in the picture on the left side of the room?,color,none,none,0.0,0.0,0.0,same,True,True,flower;plant;pillow
174,What other animal is this animal traditionally an enemy of?,other,cat,cat,1.0,1.0,0.0,same,False,False,fish;neck;roof
175,What left the blue marks on the ground near the fire hydrant?,other,hydrant,hydrant,0.0,0.0,0.0,same,False,False,fire hydrant;chain;paint
176,What kind of a person usually eats food like this?,what_type_kind,health conscious,health nut,0.0,0.0,0.0,same,False,False,rice;spinach;vegetable
177,Which person would be the coldest?,which,left,man on left,0.3,0.0,-0.3,left_better,False,False,woman;head;cap
178,What pattern is on the bottom of the skateboard?,other,zig zag,zig zag,0.0,0.0,0.0,same,False,False,skateboard;wheel;ramp
179,How many drinkers are sucking down their beverages?,how_many,0,0,0.0,0.0,0.0,same,False,True,person;glass;juice
180,What does the taller bottle contain?,other,water,water,1.0,1.0,0.0,same,False,False,bottle;racket;shoe
181,How do these people know each other?,other,classmates,classmates,1.0,1.0,0.0,same,False,False,boy;girl;tie
182,What might you mix with the alcoholic drink named?,other,water,water,0.0,0.0,0.0,same,False,False,person;man;camera
183,What type of vehicle is this?,what_type_kind,bus,bus,1.0,1.0,0.0,same,False,False,bus;car;sidewalk
184,What material are the white cups?,other,plastic,plastic,0.8999999999999999,0.8999999999999999,0.0,same,False,False,cup;glasses;man
185,What color is the floor?,color,brown,brown,1.0,1.0,0.0,same,True,True,floor;leg;boy
186,What is placed inside this meter?,other,coins,coins,1.0,1.0,0.0,same,False,False,sign;display;screen
187,What appliance is shown?,what_object,toaster,toaster,1.0,1.0,0.0,same,True,True,toaster;spoon;whisk
188,Why does the couple standing in the boat?,why,fish,not enough info,0.0,0.0,0.0,same,False,False,person;mast;pole
189,What cultural clothing are the women wearing?,other,kimono,traditional,0.6,0.0,-0.6,left_better,False,False,person;ground;tail
190,How did the animal on the car arrive there?,other,walked,walked,0.0,0.0,0.0,same,False,False,bird;hood;car
191,What is in the glass?,other,wine,wine,1.0,1.0,0.0,same,True,True,wine;bread;food
192,What area of the house is this in?,other,basement,basement,1.0,1.0,0.0,same,False,False,man;person;toilet
193,The top shelf has many books of the same author of what genre?,other,nonfiction,fiction,0.0,0.0,0.0,same,False,False,book;shelf;wall
194,How many women are in the picture?,how_many,four,4,1.0,0.0,-1.0,left_better,True,True,woman;sweater;pizza
195,The couch is located where?,where,right,right,0.3,0.3,0.0,same,False,False,couch;rug;radiator
196,What type of travel is this vehicle for?,what_type_kind,air travel,air travel,0.6,0.6,0.0,same,False,False,airplane;airport;tarmac
197,Where are the people laying?,where,beach,beach,1.0,1.0,0.0,same,False,False,sand;beach;towel
198,What are the horses being used for?,activity_event,plow,plow,0.0,0.0,0.0,same,False,False,horse;man;ground
199,What kind of door is open so she can sit inside?,what_type_kind,refrigerator,refrigerator,1.0,1.0,0.0,same,False,False,refrigerator;door;woman
200,What is the woman using the umbrella to protect herself from?,other,sun,sun,1.0,1.0,0.0,same,False,False,back;woman;walkway
201,What property does the blue and green fence have?,other,waterproof,colorful,0.0,0.0,0.0,same,False,False,tarp;jacket;coat
202,What occasion are the bears probably sitting at the table enjoying?,other,christmas,christmas,1.0,1.0,0.0,same,False,False,bear;christmas tree;plate
203,Why is the cow tied to the pole?,why,to keep it from wandering off,not tied,0.0,0.0,0.0,same,False,False,cow;pole;head
204,What super hero is the cake based off?,other,spiderman,spiderman,1.0,1.0,0.0,same,False,False,boy;woman;face
205,What is the man with the black glove about to do?,other,pitch,pitch,0.8999999999999999,0.8999999999999999,0.0,same,False,False,man;uniform;hat
206,Why is his arm up in the air?,why,hitting ball,hitting ball,0.3,0.3,0.0,same,False,False,ball;man;cap
207,What animal is next to the baby animal?,what_object,cow,cow,1.0,1.0,0.0,same,True,True,cow;calf;trailer
208,What do people do with the items purchased at this corner?,other,eat,eat,1.0,1.0,0.0,same,False,False,bag;jean;street
209,Which snowboarder will have a harder time standing up?,which,back one,farthest away,0.3,0.0,-0.3,left_better,False,False,man;person;snowboard
210,If this is a grand slam which must it be?,which,wimbledon,wimbledon,1.0,1.0,0.0,same,False,False,woman;person;court
211,What is hanging on the right wall next the desk?,other,jackets,jacket,1.0,0.0,-1.0,left_better,False,True,toy;computer;laptop
212,What fruit is the clock shaped as?,other,apple,apple,1.0,1.0,0.0,same,False,False,clock;table;plant
213,What is the most likely age of the person?,activity_event,elderly,elderly,0.0,0.0,0.0,same,False,False,woman;hair;flower
214,What kind of bus is this?,what_type_kind,tata,tata,0.3,0.3,0.0,same,False,False,bus;person;road
215,Which vegetable in this soup is heart shaped?,which,carrot,carrot,1.0,1.0,0.0,same,False,False,carrot;vegetable;mushroom
216,Where were these pieces of fruit likely purchased?,where,grocery store,grocery store,0.8999999999999999,0.8999999999999999,0.0,same,False,False,orange;banana;table
217,These horses are used for what?,activity_event,plowing,plowing,0.8999999999999999,0.8999999999999999,0.0,same,False,False,horse;man;person
218,What type of shelves are these?,what_type_kind,metal,metal,0.3,0.3,0.0,same,False,False,shelf;rack;display
219,What type of venue might this be?,what_type_kind,airport,airport,1.0,1.0,0.0,same,False,False,person;woman;man
220,Which vehicle is closest to the transport hub?,which,red car,red car,0.0,0.0,0.0,same,False,False,car;sign;truck
221,What are the people tying?,other,kite,kite,1.0,1.0,0.0,same,False,False,kite;boy;string
222,What is the man riding?,other,skateboard,skateboard,1.0,1.0,0.0,same,False,False,skateboard;ramp;man
223,Who might be helping the girl?,other,mother,no one,0.3,0.0,-0.3,left_better,False,False,girl;hand;tray
224,What type of container is near the benches?,what_type_kind,trash can,trash can,0.3,0.3,0.0,same,False,False,trash can;man;person
225,What type of sign is visible?,what_type_kind,stop sign,stop sign,1.0,1.0,0.0,same,False,False,stop sign;traffic light;car
226,What other sports might be played on this surface?,other,snowboarding,snowboarding,0.8999999999999999,0.8999999999999999,0.0,same,False,False,ski;track;trail
227,Given the position of the bat and ball the batter most likely?,activity_event,hit ball,hit ball,0.0,0.0,0.0,same,False,False,bat;baseball;ball
228,What industry is this man likely working in?,other,food,food,1.0,1.0,0.0,same,False,False,kitchen;microwave;head
229,What is needed to control the large object?,other,string,string,1.0,1.0,0.0,same,False,False,boy;person;goal
230,What kind of fruit is used for decorating?,what_type_kind,oranges,oranges,1.0,1.0,0.0,same,False,False,orange;fruit;pitcher
231,Where does this fruit grow?,where,tree,tree,1.0,1.0,0.0,same,False,False,apple;man;face
232,What indicates a baby is present?,other,sippy cup,sippy cup,0.6,0.6,0.0,same,False,False,cup;straw;curtain
233,What social activity might this person engage in at night this day?,activity_event,parade,parade,0.0,0.0,0.0,same,False,False,woman;dog;car
234,What leavening is used in this item?,other,yeast,yeast,1.0,1.0,0.0,same,False,False,pizza;crust;cheese
235,What meal might be eaten at the time shown on the clock?,other,lunch,lunch,0.0,0.0,0.0,same,False,False,glass;bottle;mouse
236,What is the relationship of the people at the back to the man wearing an orange hat?,other,passengers,passengers,0.6,0.6,0.0,same,False,False,carriage;woman;man
237,What are these women controlling?,other,remotes,wii controllers,0.0,0.0,0.0,same,False,False,controller;remote;girl
238,How many different devices can show a picture?,how_many,3,4,0.0,0.0,0.0,same,True,True,laptop;monitor;screen
239,What kind of bike is this?,what_type_kind,scooter,scooter,1.0,1.0,0.0,same,False,False,bike;woman;plant
240,What type of dinnerware do the people seem to be using?,what_type_kind,plates,plates,0.3,0.3,0.0,same,False,False,plate;glasses;glass
241,Why is the man holding an umbrella?,why,rain,rain,0.8999999999999999,0.8999999999999999,0.0,same,False,False,umbrella;man;jacket
242,This railcar is travelling at what position relative to the street-level?,other,above,above,0.0,0.0,0.0,same,False,False,platform;poster;jacket
243,The guy on the beach towel is readying the item to do what with it most likely?,activity_event,fly,fly,0.8999999999999999,0.8999999999999999,0.0,same,False,False,kite;cap;leg
244,What might be drunk from this glasses?,other,wine,wine,1.0,1.0,0.0,same,False,False,glass;fork;knife
245,Which territory is this area located?,which,england,england,0.8999999999999999,0.8999999999999999,0.0,same,False,False,bus;sign;person
246,What type of region is this likely?,what_type_kind,kitchen,kitchen,1.0,1.0,0.0,same,False,False,woman;table;plate
247,The man is looking in what direction?,other,left,left,0.0,0.0,0.0,same,False,False,kite;sky;string
248,This person in this picture is likely to be a?,other,woman,woman,0.0,0.0,0.0,same,False,False,woman;person;bottom
249,Which flavor most closely describes the bright yellow stuff?,which,mustard,mustard,1.0,1.0,0.0,same,False,False,mustard;hot dog;bun
250,What city is this location?,other,tokyo,tokyo,0.3,0.3,0.0,same,False,False,woman;building;sidewalk
251,What is the name of the sport the man is participating in?,other,water skiing,water skiing,0.3,0.3,0.0,same,False,False,man;rope;surfboard
252,What is the shape on top of the cake?,other,heart,heart,0.0,0.0,0.0,same,False,False,heart;woman;person
