idx,key,question,question_type,context,objects,r3_answer,r3_score,best_method,best_answer,best_score,delta,r3_caption_answer,r3_caption_score,answer_first_locked_no_caption_answer,answer_first_locked_no_caption_score,review_empty_context_answer,review_empty_context_score,no_cot_rounds1_answer,no_cot_rounds1_score,r3_no_caption_answer,r3_no_caption_score,keep_revise_answer,keep_revise_score,visible_only_answer,visible_only_score,reviewer_caption_only_answer,reviewer_caption_only_score
198,476215<->AJvjHZ5SF3hD6C3eYniXsc,What are the horses being used for?,purpose_reason,a man standing next to two horses on a dirt field.,"horse,man,ground",plow,0.0,answer_first_locked_no_caption,plowing,1.0,1.0,plow,0.0,plowing,1.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0
251,232692<->ChoLNyVYCocjeYqDJQYMoe,What is the name of the sport the man is participating in?,object_what,a man is water skiing on a lake.,"man,rope,hand",water ski,0.0,answer_first_locked_no_caption,water skiing,0.3,0.3,water ski,0.0,water skiing,0.3,water ski,0.0,water skiing,0.3,water ski,0.0,water skiing,0.3,water skiing,0.3,water ski,0.0
276,289594<->DcKwtSxfdjTch9RvAuEpNH,What type of buildings are located here?,spatial_location,a man standing on a sidewalk next to a street sign.,"building,car,sidewalk",house,0.0,answer_first_locked_no_caption,houses,1.0,1.0,house,0.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,houses,1.0,house,0.0
283,450303<->E2Vuut5upXHFFVxEk8kHvM,The people on laptops seem most likely to be part of what group?,other,a group of people sitting at a table with laptops.,"laptop,person,man",student,0.0,answer_first_locked_no_caption,students,0.6,0.6,student,0.0,students,0.6,student,0.0,student,0.0,student,0.0,student,0.0,student,0.0,student,0.0
288,170670<->E9Tea7kyCg7eW4bPeT5W83,The glasses contain only this beverage type?,other,a table topped with plates and bowls of food.,"glass,cup,bottle",uncertain,0.0,answer_first_locked_no_caption,beer,1.0,1.0,uncertain,0.0,beer,1.0,beer,1.0,beer,1.0,beer,1.0,not all beer,0.0,beer,1.0,beer,1.0
291,292082<->EAYTJseBUauGLMkCTZdhtU,Whos is sitting in the chair?,other,a man and a child sitting next to each other.,"man,girl,chair",man and child,0.0,r3_no_caption,man,1.0,1.0,man and child,0.0,man and girl,0.0,man and child,0.0,man and child,0.0,man,1.0,man and child,0.0,man and child,0.0,man and child,0.0
294,523782<->EER9xudvx7aG37Zbaewxkw,What brand of soda is the can in the car?,object_what,a red bird sitting on the mirror of a silver truck.,"car,window,handle",uncertain,0.0,answer_first_locked_no_caption,pepsi,1.0,1.0,uncertain,0.0,pepsi,1.0,dr pepper,0.0,coca cola,0.0,coca cola,0.0,unknown,0.0,coca-cola,0.0,coca cola,0.0
296,463802<->EJ5nAfveNYp6rFYz46Dqkw,What is the stuffed animal touching instead of the tennis player?,object_what,a man is holding a tennis racket next to a stuffed animal.,"ear,hat,wristband",wall,0.0,visible_only,racket,0.3,0.3,wall,0.0,wall,0.0,wall,0.0,wall,0.0,wall,0.0,wall,0.0,racket,0.3,wall,0.0
301,375278<->Ed662HvZeisV6Mzxs2S6bj,The bag which the cat is standing is used for what?,purpose_reason,a person is petting a black cat in a suitcase.,"suitcase,strap,floor",carry,0.0,answer_first_locked_no_caption,travel,1.0,1.0,carry,0.0,travel,1.0,travel,1.0,travel,1.0,carry,0.0,travel,1.0,travel,1.0,travel,1.0
306,26204<->EpwwuobLzGLWhnbXAjbw2x,What does the electric street sign say?,text_ocr,a city street filled with traffic and tall buildings.,"sign,woman,man",spokane fall & 6th,0.0,r3_no_caption,stop,0.3,0.3,spokane fall & 6th,0.0,SPokane Falls Blvd,0.0,spokane fall st,0.0,spokane fall & 6th,0.0,stop,0.3,spokane fall & 6th,0.0,spokane fall & 6th,0.0,spokane fall & 6th,0.0
308,73946<->EtRReER5fXmbnTmQTzM7Di,In what type of location are they playing with the body board?,action_state,a couple of men standing next to a surfboard with a shark on it.,"board,tank top,wall",indoor,0.0,review_empty_context,indoors,0.8999999999999999,0.8999999999999999,indoor,0.0,indoor,0.0,indoors,0.8999999999999999,room,0.8999999999999999,indoor,0.0,indoors,0.8999999999999999,indoors,0.8999999999999999,room,0.8999999999999999
313,489014<->F5CqqWCtosWowj39Kchh9E,What type of dog is it?,category_type,a dog on a boat in the water.,"dog,sail,railing",labrador,0.0,answer_first_locked_no_caption,german shepherd,1.0,1.0,labrador,0.0,german shepherd,1.0,labrador,0.0,labrador,0.0,dog,0.0,german shepherd,1.0,labrador,0.0,labrador,0.0
319,457078<->FFhuFfMAy38Z7WWr6q7faA,What family member in a household would this room most likely belong to?,object_what,a living room with a large poster on the wall.,"television,screen,picture",adult,0.0,keep_revise,child,1.0,1.0,adult,0.0,teenager,0.0,adult,0.0,teenager,0.0,teenager,0.0,child,1.0,teenager,0.0,adult,0.0
321,189820<->FG6kmHCaikmwGGpw9RhpSD,Who would sit here?,other,a chair sitting in front of a desk with a computer on it.,"chair,monitor,desk",person,0.0,no_cot_rounds1,employee,0.8999999999999999,0.8999999999999999,person,0.0,person,0.0,person,0.0,employee,0.8999999999999999,employee,0.8999999999999999,person,0.0,person,0.0,person,0.0
323,480021<->FHq2UjmQmmZbCvD4wDJwjH,The piece of clothing the woman in the picture is wearing on her hands normally serves what purpose?,purpose_reason,a man riding on the back of a motorcycle next to two men.,"woman,coat,short",protect,0.0,answer_first_locked_no_caption,protection,1.0,1.0,protect,0.0,protection,1.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0,protect,0.0
330,448256<->FddDsTHeVp9WJYZBjLoKUi,What sort of surface/substance does the conveyance with a problem here move upon?,object_what,a couple of men standing next to a truck.,"car,boat,road",asphalt,0.0,keep_revise,road,0.3,0.3,asphalt,0.0,asphalt,0.0,asphalt,0.0,asphalt,0.0,asphalt,0.0,road,0.3,asphalt,0.0,asphalt,0.0
339,551350<->Fv2hy4qfFdd847B3xEcPz3,What type of terrain is beyond the table and grill?,category_type,a picnic table under a tree in a park.,"park,dirt,leaf",gravel,0.0,answer_first_locked_no_caption,dirt,0.8999999999999999,0.8999999999999999,gravel,0.0,dirt,0.8999999999999999,gravel,0.0,gravel,0.0,grass,0.8999999999999999,gravel,0.0,gravel,0.0,gravel,0.0
350,556193<->GaMNX53oAdZUoytgminHKh,Which color of clothing is unique to just one of the two people here?,color,a couple of men standing in front of a tv.,"sweater,jean,pant",black,0.0,answer_first_locked_no_caption,blue,0.6,0.6,black,0.0,blue,0.6,black,0.0,black,0.0,black,0.0,black,0.0,black,0.0,black,0.0
371,281929<->H8KBdToKYoc2D9GPVE6mds,What kind of hat is the man wearing?,action_state,a man in a suit and hat holding a bicycle.,"hat,man,bicycle",fedora,0.0,answer_first_locked_no_caption,cap,0.8999999999999999,0.8999999999999999,fedora,0.0,cap,0.8999999999999999,cap,0.8999999999999999,cap,0.8999999999999999,cap,0.8999999999999999,cap,0.8999999999999999,fedora,0.0,cap,0.8999999999999999
378,350003<->HM4obw9fQyb3aPheZjgtqq,Why is the person's vest yellow?,purpose_reason,a fire truck is driving down the street.,"person,fire truck,man",safety,0.0,r3_no_caption,visibility,1.0,1.0,safety,0.0,safety,0.0,safety,0.0,safety,0.0,visibility,1.0,safety,0.0,safety,0.0,safety,0.0
379,353180<->HMuwvp694v2XuNGWtSht8h,What number is closest to the number of people that are pushing the bus?,count,a group of people standing in front of a bus.,"person,man,jean",8,0.0,no_cot_rounds1,eight,0.8999999999999999,0.8999999999999999,8,0.0,8,0.0,8,0.0,eight,0.8999999999999999,8,0.0,8,0.0,8,0.0,8,0.0
393,433774<->JJPVhVK8EvZNsddZMETh6v,When does meter enforcement have their days off?,other,a parking meter sitting on the side of a road.,"parking meter,meter,sign",sunday,0.0,reviewer_caption_only,saturday sunday,0.8999999999999999,0.8999999999999999,sunday,0.0,Saturday,0.0,sunday,0.0,saturday,0.0,sunday,0.0,sunday,0.0,SUN,0.0,saturday sunday,0.8999999999999999
409,399205<->JzruB6ybwPgmhZ5euNweVS,What type of phones are being used?,category_type,a group of men standing around each other on a sidewalk.,"hand,sunglasses,cap",cell phone,0.0,r3_no_caption,cell,0.6,0.6,cell phone,0.0,cell phone,0.0,cell phone,0.0,cell phone,0.0,cell,0.6,cell phone,0.0,cell phone,0.0,cell phone,0.0
433,126226<->KtndapoEif4gqUGbYMKim6,What sports equipment is on the ground?,object_what,a group of baseball players sitting in a dugout.,"glove,hat,cap",baseball gloves and caps,0.0,answer_first_locked_no_caption,gloves,0.6,0.6,baseball gloves and caps,0.0,gloves,0.6,baseball gloves,0.3,baseballs,0.0,baseball gloves,0.3,baseball gloves and caps,0.0,gloves and caps,0.0,baseball gloves,0.3
438,129054<->LGdv7ZFDA5bxdGaYw5XSLZ,What are the zebra's stripes for?,object_what,a herd of zebras standing in a grassy field.,"zebra,head,grass",uncertain,0.0,answer_first_locked_no_caption,camouflage,1.0,1.0,uncertain,0.0,camouflage,1.0,uncertain,0.0,camouflage,1.0,uncertain,0.0,thermoregulation and deterrence,0.0,uncertain,0.0,camouflage,1.0
445,416991<->LYvkz5jUWHpZYkZ8VhxESf,Why might people sit here?,purpose_reason,a row of umbrellas sitting next to a body of water.,"table,umbrella,water",shade,0.0,answer_first_locked_no_caption,Relax,0.3,0.3,shade,0.0,Relax,0.3,shade,0.0,relax,0.3,relax,0.3,shade,0.0,shade,0.0,to enjoy the water view,0.0
465,496722<->MMgmqJzM4kBYppdQX5f3gL,Which country uses this kind of mail service?,other,a red mail box sitting on the side of a road.,"box,sign,road",uk,0.0,answer_first_locked_no_caption,United Kingdom,0.3,0.3,uk,0.0,United Kingdom,0.3,uk,0.0,United Kingdom,0.3,uk,0.0,uk,0.0,uk,0.0,United Kingdom,0.3
475,263966<->MgwZ9gzpwfp2xz2oGjemMc,What is the round glass object?,object_what,a brown horse standing next to a wooden fence.,"horse,nose,eye",mirror,0.0,answer_first_locked_no_caption,lens,1.0,1.0,mirror,0.0,lens,1.0,mirror,0.0,lens,1.0,mirror,0.0,mirror,0.0,lens,1.0,camera lens,0.6
484,144984<->NFMXerxQWMSQACyqHarJre,How is the device the boy is holding powered?,action_state,a young boy sitting on a couch holding a nintendo wii game controller.,"wire,cord,remote",cord,0.0,answer_first_locked_no_caption,battery,0.8999999999999999,0.8999999999999999,cord,0.0,battery,0.8999999999999999,battery,0.8999999999999999,battery,0.8999999999999999,battery,0.8999999999999999,battery,0.8999999999999999,battery,0.8999999999999999,battery,0.8999999999999999
488,381971<->NQQEM9mH6viipfoP9kMC6v,What are the people on the sidewalk likely to be?,object_what,a horse drawn carriage traveling down a street.,"man,person,jean",passengers,0.0,answer_first_locked_no_caption,tourists,1.0,1.0,passengers,0.0,tourists,1.0,passengers,0.0,tourists,1.0,passengers,0.0,passengers,0.0,passengers,0.0,passersby,0.0
494,23899<->NsLGudV3NNLiYhGjCqbw78,What are the men doing?,action_state,three people are playing a video game together.,"man,woman,controller",playing video game,0.0,r3_no_caption,playing game,0.6,0.6,playing video game,0.0,playing games,0.0,playing video game,0.0,playing video game,0.0,playing game,0.6,playing video game,0.0,playing video game,0.0,playing video game,0.0
501,502336<->P6oCrLWLEpt8yyJ6x9AbAd,Which city is this sign in which contains the Heumarkt transit stop?,text_ocr,a woman walking down a street next to a traffic light.,"sign,building,door",berlin,0.0,no_cot_rounds1,canton,0.8999999999999999,0.8999999999999999,berlin,0.0,Berlin,0.0,berlin,0.0,canton,0.8999999999999999,berlin,0.0,berlin,0.0,berlin,0.0,canton,0.8999999999999999
503,229311<->P8dF9URdgyA2NX7Na7Cc2K,What item is found on the counter?,object_what,a kitchen with a sink and a window,"faucet,sink,coffee maker",dish towel,0.0,answer_first_locked_no_caption,towel,0.8999999999999999,0.8999999999999999,dish towel,0.0,towel,0.8999999999999999,towel,0.8999999999999999,sink,0.0,towel,0.8999999999999999,towel,0.8999999999999999,towel,0.8999999999999999,sink,0.0
511,95786<->PPGK4QYUUdYhLhBKKfPCp3,What type of art is this?,category_type,a couple of cups sitting on top of a table.,"vase,cup,design",ceramic,0.0,answer_first_locked_no_caption,pottery,1.0,1.0,ceramic,0.0,pottery,1.0,ceramics,0.0,ceramics,0.0,ceramics,0.0,ceramic,0.0,ceramic,0.0,ceramic,0.0
514,426329<->PSBwpAo47YDwimGuqy75Pm,How many people can likely eat one cake?,count,a table topped with lots of cakes covered in frosting.,"cake,decoration,screen",1,0.0,answer_first_locked_no_caption,one,1.0,1.0,1,0.0,one,1.0,1,0.0,one,1.0,1,0.0,1,0.0,1,0.0,1,0.0
517,455716<->PZuvxsHTeR4DzXQN7DQR59,What is the clear plastic on the front for?,spatial_location,a group of motorcycles parked in the grass.,"windshield,light,headlight",safety,0.0,answer_first_locked_no_caption,windshield,0.8999999999999999,0.8999999999999999,safety,0.0,windshield,0.8999999999999999,safety,0.0,safety,0.0,safety,0.0,safety,0.0,safety,0.0,safety,0.0
533,28993<->QJvRFzyGr6FEDrTqLohf7D,What are the goldish/brown devices called?,object_what,a row of yellow poles sitting in the middle of a sidewalk.,"fire hydrant,pole,cap",fire hydrant,0.0,answer_first_locked_no_caption,fire hydrants,0.6,0.6,fire hydrant,0.0,fire hydrants,0.6,fire hydrant,0.0,fire hydrant,0.0,fire hydrant,0.0,fire hydrant,0.0,fire hydrant,0.0,fire hydrant,0.0
548,261061<->QsW8sBQzRc4Zsxds7WwTJ7,Where is this person playing?,spatial_location,a young girl in a yard with a baseball bat.,"girl,grass,bat",yard,0.0,answer_first_locked_no_caption,backyard,1.0,1.0,yard,0.0,backyard,1.0,yard,0.0,yard,0.0,yard,0.0,yard,0.0,yard,0.0,yard,0.0
555,33114<->RFLRY32jbKYv8NBsmVtX7x,What is the most likely reason for reflection on the runway?,object_what,a large jetliner taking off from an airport runway.,"light,runway,landing gear",rain,0.0,keep_revise,water,0.8999999999999999,0.8999999999999999,rain,0.0,wet surface,0.0,rain,0.0,wet,0.0,rain,0.0,water,0.8999999999999999,rain,0.0,rain,0.0
563,569825<->RrQ48CMWPTgqsvg2K4P7eR,When actively playing what physical position will this player be in?,action_state,a baseball player standing next to home plate.,"plate,hand,glove",stand,0.0,answer_first_locked_no_caption,crouched,0.6,0.6,stand,0.0,crouched,0.6,stand,0.0,crouch,0.6,stand,0.0,stand,0.0,stand,0.0,standing,0.0
584,332318<->SpnBQjkqymWyZ5gEzPTwKu,What type of animal is in the grass?,category_type,a herd of cattle grazing on a lush green hillside.,"cow,grass,trailer",cattle,0.0,answer_first_locked_no_caption,cow,1.0,1.0,cattle,0.0,cow,1.0,cattle,0.0,cattle,0.0,cow,1.0,cattle,0.0,cattle,0.0,cattle,0.0
597,580197<->TP6CLZw55zqvf7ysJUnG2B,What is the most likely explanation for how the people in the back of the room can hear this man?,object_what,a man in a tuxedo standing next to another man in a tuxedo.,"man,mouth,suit",speaking,0.0,r3_no_caption,speakers,0.3,0.3,speaking,0.0,sound transmission,0.0,speaking,0.0,speaking,0.0,speakers,0.3,speaking,0.0,speaking,0.0,uncertain,0.0
609,389812<->U5Z3AUf3R9VcDqTFDLGt2c,Where is this man likely from?,spatial_location,a man holding a bunch of bananas in his hands.,"man,face,tree",tropical region,0.0,r3_no_caption,asia,0.6,0.6,tropical region,0.0,Southeast Asia,0.0,tropical region,0.0,tropical region,0.0,asia,0.6,tropical region,0.0,tropical region,0.0,tropical region,0.0
618,522007<->UVVFCjjDrqyaKa34tF54pS,What is the room adjacent to the kitchen?,object_what,a kitchen with a stove and a microwave,"closet,shoe,shelf",hallway,0.0,no_cot_rounds1,closet,1.0,1.0,hallway,0.0,hallway,0.0,hallway,0.0,closet,1.0,hallway,0.0,hallway,0.0,closet,1.0,closet,1.0
619,335954<->UXBfDe6BkYdbApxVPSdmVo,What creamy food frequently would fill up these cups?,object_what,two plastic containers filled with fruit and a knife.,"avocado,strawberry,fruit",smoothie,0.0,review_empty_context,yogurt,1.0,1.0,smoothie,0.0,avocado,0.0,yogurt,1.0,avocado,0.0,salad,0.0,yogurt,1.0,yogurt,1.0,avocado,0.0
620,94944<->UXR5X7hqtMs7BPFyniqscB,What sport do the people have equipment for?,object_what,a man holding a snowboard on top of a snow covered slope.,"snowboard,ski,mountain",skiing,0.0,review_empty_context,snowboarding,1.0,1.0,skiing,0.0,skiing,0.0,snowboarding,1.0,snowboarding,1.0,skiing,0.0,snowboarding,1.0,skiing,0.0,snowboarding,1.0
625,1268<->UdzPZ8vzkJg3Bp2pMQP5f2,What animal is near the water?,spatial_location,a woman taking a picture of a bird on the water.,"swan,man,woman",bird,0.0,answer_first_locked_no_caption,swan,1.0,1.0,bird,0.0,swan,1.0,bird,0.0,bird,0.0,swan,1.0,bird,0.0,bird,0.0,bird,0.0
639,322724<->VJLpcbF24BNNeHBGBKQp8K,Why is the woman wearing goggles?,purpose_reason,a person in a red jacket on skis in the snow.,"goggles,head,helmet",safety,0.0,review_empty_context,protect eyes,1.0,1.0,safety,0.0,protection,0.6,protect eyes,1.0,protection,0.6,skiing,0.0,protection,0.6,safety,0.0,safety,0.0
641,189475<->VKDkZzDN4KTFxGbh2KrgSf,Where did the idea of ketchup originally come from?,spatial_location,a woman and a boy sitting at a table with a plate of food.,"woman,boy,bottle",unknown,0.0,r3_no_caption,china,1.0,1.0,unknown,0.0,unknown,0.0,unknown,0.0,not in image,0.0,china,1.0,unknown,0.0,unknown,0.0,not in image,0.0
642,145020<->VPtWDzT5r9wYAo4xWxHy97,Which Disney mascot is pictured next to the Christmas Tree?,spatial_location,a giant penguin standing next to a christmas tree.,"tree,teddy bear,glove",duck,0.0,answer_first_locked_no_caption,Donald Duck,1.0,1.0,duck,0.0,Donald Duck,1.0,duck,0.0,duck,0.0,duck,0.0,duck,0.0,duck,0.0,donald duck,1.0
651,376322<->VcdLhhv7e9gDP4aHuFPomY,Why is the phone wrapped in a pink enclosure?,purpose_reason,a group of people sitting at a table with food and drinks.,"hand,bread,shirt",for protection,0.0,r3_no_caption,protection,1.0,1.0,for protection,0.0,personal preference,0.0,for protection,0.0,for protection,0.0,protection,1.0,for protection,0.0,for protection,0.0,personal preference,0.0
656,201934<->VgxPdtgxpLKqHGCvaCyHcC,What is the bus parked next to?,spatial_location,a white bus parked on the side of a street.,"fence,sidewalk,car",fence,0.0,answer_first_locked_no_caption,sidewalk,0.8999999999999999,0.8999999999999999,fence,0.0,sidewalk,0.8999999999999999,fence,0.0,fence,0.0,fence,0.0,fence,0.0,sidewalk,0.8999999999999999,sidewalk,0.8999999999999999
657,416534<->VnvcXjkeZTbMsRfQZwQXUF,What activity occurs in this room as result of the objects on the furniture to the left of the partition?,spatial_location,a living room with a chair a table and a tv,"television,shelf,stand",watch tv,0.0,answer_first_locked_no_caption,reading,1.0,1.0,watch tv,0.0,reading,1.0,watch tv,0.0,watch tv,0.0,watch tv,0.0,watch tv,0.0,watch tv,0.0,watch tv,0.0
661,254814<->W3BhSzei6UhVZbxEqQYt5Y,What is the frequent vehicle on this pictured street?,object_what,a large group of people on motor bikes on a street.,"motorcycle,van,car",motorbike,0.0,answer_first_locked_no_caption,scooter,0.3,0.3,motorbike,0.0,scooter,0.3,motorcycle,0.3,motorbike,0.0,motorcycle,0.3,motorcycle,0.3,motorbike,0.0,motorcycle,0.3
665,560880<->W9SuEnjPaJ2SReannrgG2Y,What work is the team of horses doing?,action_state,a black and white photo of a man and two horses.,"man,person,dog",plow,0.0,answer_first_locked_no_caption,plowing,0.8999999999999999,0.8999999999999999,plow,0.0,plowing,0.8999999999999999,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0,plow,0.0
686,38829<->XC7LFjtKGWBQRW2FZrXJSn,What kind of beverage is the red sign advertising?,text_ocr,two men riding on a bicycle with a basket on the front of it.,"sign,boy,bicycle",coca-cola,0.0,review_empty_context,coca cola,1.0,1.0,coca-cola,0.0,Coca-Cola,0.0,coca cola,1.0,coca-cola,0.0,coca cola,1.0,coca cola,1.0,coca-cola,0.0,coca-cola,0.0
692,301718<->XMnwGhrkndZXRyKaXNYkAv,What company made the box that is near the far wall?,spatial_location,a man and woman sitting at a table with plates of food.,"box,wall,hand",up,0.0,answer_first_locked_no_caption,usps,1.0,1.0,up,0.0,usps,1.0,up,0.0,unanswerable,0.0,usps,1.0,up,0.0,uncertain,0.0,unanswerable,0.0
